"series","alias","status","use_in","asset_type","text","chars","final_url"
"My Stepmother's Lies","stepmom","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/stepmom?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_stepmom"
"My Stepmother's Lies","stepmom","⚠️ verify","Search · App · Demand Gen","headline (≤30)","सौतेली माँ ने मुझे छुपाकर रखा।","19","https://thegulel.com/go/stepmom?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_stepmom"
"My Stepmother's Lies","stepmom","⚠️ verify","Search · App · Demand Gen","headline (≤30)","पर वो सिर्फ़ मुझे देखता है।","17","https://thegulel.com/go/stepmom?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_stepmom"
"My Stepmother's Lies","stepmom","⚠️ verify","Search · App · Demand Gen","headline (≤30)","आपकी सौतेली माँ ऐसा करती तो?","19","https://thegulel.com/go/stepmom?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_stepmom"
"My Stepmother's Lies","stepmom","⚠️ verify","Demand Gen · PMax","long headline (≤90)","Raised to be invisible. Finally, someone sees her. Watch Episode 1 free.","72","https://thegulel.com/go/stepmom?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_stepmom"
"My Stepmother's Lies","stepmom","⚠️ verify","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/stepmom?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_stepmom"
"My Stepmother's Lies","stepmom","⚠️ verify","Search · App · Demand Gen","description (≤90)","Raised to be invisible. Finally, someone sees her.","50","https://thegulel.com/go/stepmom?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_stepmom"
"The CEO's Hidden Wife","wife","⚠️ verify","Search · App · Demand Gen","headline (≤30)","The CEO's Hidden Wife","21","https://thegulel.com/go/wife?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_wife"
"The CEO's Hidden Wife","wife","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/wife?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_wife"
"The CEO's Hidden Wife","wife","⚠️ verify","Search · App · Demand Gen","headline (≤30)","एक कॉन्ट्रैक्ट। दो अजनबी।","15","https://thegulel.com/go/wife?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_wife"
"The CEO's Hidden Wife","wife","⚠️ verify","Search · App · Demand Gen","headline (≤30)","दुनिया से छुपी शादी।","12","https://thegulel.com/go/wife?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_wife"
"The CEO's Hidden Wife","wife","⚠️ verify","Search · App · Demand Gen","headline (≤30)","आप कॉन्ट्रैक्ट मैरिज करते?","15","https://thegulel.com/go/wife?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_wife"
"The CEO's Hidden Wife","wife","⚠️ verify","Demand Gen · PMax","long headline (≤90)","A contract marriage neither wanted, until they did. Watch Episode 1 free.","73","https://thegulel.com/go/wife?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_wife"
"The CEO's Hidden Wife","wife","⚠️ verify","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/wife?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_wife"
"The CEO's Hidden Wife","wife","⚠️ verify","Search · App · Demand Gen","description (≤90)","A contract marriage neither wanted, until they did.","51","https://thegulel.com/go/wife?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_wife"
"Broken Vows","vows","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Broken Vows","11","https://thegulel.com/go/vows?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_vows"
"Broken Vows","vows","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/vows?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_vows"
"Broken Vows","vows","⚠️ verify","Search · App · Demand Gen","headline (≤30)","शादी की रात धोखा।","11","https://thegulel.com/go/vows?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_vows"
"Broken Vows","vows","⚠️ verify","Search · App · Demand Gen","headline (≤30)","3 साल बाद… उसकी बॉस।","16","https://thegulel.com/go/vows?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_vows"
"Broken Vows","vows","⚠️ verify","Search · App · Demand Gen","headline (≤30)","आप माफ़ करतीं?","10","https://thegulel.com/go/vows?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_vows"
"Broken Vows","vows","⚠️ verify","Demand Gen · PMax","long headline (≤90)","Betrayed on her wedding night. Back three years later as his boss. Watch Episode 1 free.","88","https://thegulel.com/go/vows?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_vows"
"Broken Vows","vows","⚠️ verify","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/vows?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_vows"
"Broken Vows","vows","⚠️ verify","Search · App · Demand Gen","description (≤90)","Betrayed on her wedding night. Back three years later as his boss.","66","https://thegulel.com/go/vows?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_vows"
"Forbidden Love","forbidden","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Forbidden Love","14","https://thegulel.com/go/forbidden?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_forbidden"
"Forbidden Love","forbidden","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/forbidden?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_forbidden"
"Forbidden Love","forbidden","⚠️ verify","Search · App · Demand Gen","headline (≤30)","उसने मेरे दुश्मन से शादी की।","18","https://thegulel.com/go/forbidden?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_forbidden"
"Forbidden Love","forbidden","⚠️ verify","Search · App · Demand Gen","headline (≤30)","प्यार या परिवार?","10","https://thegulel.com/go/forbidden?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_forbidden"
"Forbidden Love","forbidden","⚠️ verify","Search · App · Demand Gen","headline (≤30)","आप भूल पाते?","9","https://thegulel.com/go/forbidden?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_forbidden"
"Forbidden Love","forbidden","⚠️ verify","Demand Gen · PMax","long headline (≤90)","She married his enemy. He never forgot her. Watch Episode 1 free.","65","https://thegulel.com/go/forbidden?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_forbidden"
"Forbidden Love","forbidden","⚠️ verify","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/forbidden?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_forbidden"
"Forbidden Love","forbidden","⚠️ verify","Search · App · Demand Gen","description (≤90)","She married his enemy. He never forgot her.","43","https://thegulel.com/go/forbidden?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_forbidden"
"Midnight Obsession","obsession","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Midnight Obsession","18","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Midnight Obsession","obsession","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Midnight Obsession","obsession","⚠️ verify","Search · App · Demand Gen","headline (≤30)","वो हर रात देख रहा था।","16","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Midnight Obsession","obsession","⚠️ verify","Search · App · Demand Gen","headline (≤30)","उसे लगा वो सुरक्षित है।","15","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Midnight Obsession","obsession","⚠️ verify","Search · App · Demand Gen","headline (≤30)","आप पुलिस को बताते?","13","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Midnight Obsession","obsession","⚠️ verify","Demand Gen","headline (≤40)","Woh uski har harkat dekh raha tha.","34","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Midnight Obsession","obsession","⚠️ verify","Demand Gen · PMax","long headline (≤90)","He watched her every move. She thought she was safe. Watch Episode 1 free.","74","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Midnight Obsession","obsession","⚠️ verify","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Midnight Obsession","obsession","⚠️ verify","Search · App · Demand Gen","description (≤90)","He watched her every move. She thought she was safe.","52","https://thegulel.com/go/obsession?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_obsession"
"Love in Beijing","beijing","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Love in Beijing","15","https://thegulel.com/go/beijing?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_beijing"
"Love in Beijing","beijing","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/beijing?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_beijing"
"Love in Beijing","beijing","⚠️ verify","Search · App · Demand Gen","headline (≤30)","छोटे शहर की लड़की, बड़ा शहर।","21","https://thegulel.com/go/beijing?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_beijing"
"Love in Beijing","beijing","⚠️ verify","Search · App · Demand Gen","headline (≤30)","सपना या प्यार?","9","https://thegulel.com/go/beijing?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_beijing"
"Love in Beijing","beijing","⚠️ verify","Search · App · Demand Gen","headline (≤30)","आप अकेले विदेश जाते?","14","https://thegulel.com/go/beijing?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_beijing"
"Love in Beijing","beijing","⚠️ verify","Demand Gen · PMax","long headline (≤90)","A small-town girl, a new city, and a man who hates distractions. Watch Episode 1 free.","86","https://thegulel.com/go/beijing?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_beijing"
"Love in Beijing","beijing","⚠️ verify","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/beijing?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_beijing"
"Love in Beijing","beijing","⚠️ verify","Search · App · Demand Gen","description (≤90)","A small-town girl, a new city, and a man who hates distractions.","64","https://thegulel.com/go/beijing?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_beijing"
